<WELLCONSTRUCTION>,,,,
Bore,Depth_top_C,Depth_bot_C,Diam_in,Cons_Type
St ID SRV Rest Area,222.3,232,6,Steel
Status Co Summerwind,-2,632,10,Steel
Status Co Summerwind,632,682,10,Screen-SS
Status Co Summerwind,682,695,10,Steel
Status Co Summerwind,695,702,10,Screen-SS
SUNCOR; 1,-1,255,8,Steel
SUNCOR; 1,0,60,10,Steel
SUNCOR; 1,235,255,6,Steel
SUNCOR; 1,255,295,6,Screen-SS
SUNCOR; 1,295,305,6,Steel
SUNCOR; 2,-2,600,8,Steel
SUNCOR; 2,580,600,6,Steel
SUNCOR; 2,600,630,6,Screen-SS
SUNCOR; 2,630,640,6,Screen-SS
SW Hillcrest,0,135,27,Steel
SW Hillcrest,0,536,15,Steel
SW Hillcrest,570,590,12,Screen-SS
SW Hillcrest,690,700,12,Screen-SS
SW Hillcrest,775,790,12,Screen-SS
SW Hillcrest,935,945,12,Screen-SS
SW Hillcrest,965,975,12,Screen-SS
Swan Falls Farms,-1.5,19.5,12.75,Steel
Swan Falls Farms,19.5,590,10,Open
Symms Fruit Ranch,-2,160,16,Steel
Symms Fruit Ranch,-1.5,189,5,Steel
Symms Fruit Ranch,160,200,16,Screen-SS
Symms Fruit Ranch,189,199,5,Screen-SS
Symms Fruit Ranch,199,214,5,Steel
Symms Fruit Ranch,200,330,16,Steel
Symms Fruit Ranch,330,400,16,Screen-SS
Symms Fruit Ranch,400,412,16,Steel
T. Young,-2,255,6,Steel
T. Young,256,261,5,Screen-SS
T.S. Jones,2.5,266,12,Steel
T.S. Jones,3,266,8,Steel
T.S. Jones,249,265,6,Steel
T.S. Jones,272,312,6,Screen-SS
T.S. Jones,316,376,6,Screen-SS
T.S. Jones,378,398,6,Screen-SS
T.S. Jones,398,401,6,Steel
Takasugi Seed Farms,-2,461,16,Steel
Takasugi Seed Farms,461,481,16,Screen-SS
Takasugi Seed Farms,481,488,16,Steel
Takasugi Seed Farms,488,498,16,Screen-SS
Takasugi Seed Farms,498,518,16,Steel
Takasugi Seed Farms,518,598,16,Screen-SS
TV 11th Ave N,-2,58,6,Steel
TV 1505 Blackcat,0,183,6,Steel
TV 1505 Blackcat,183,188,6,Screen-other
TV 59Th St,0,237,6,Steel
TV Amber St,0,348,4,Steel
TV Amity-Linder,-1,202,6,Steel
TV Birmingham Rd,-1.5,415,6,Steel
TV Birmingham Rd,-0.5,33,8,Steel
TV Bixler,-1,31,6,Steel
TV Bixler,31,67,6,Open
TV Black Cat Kuna,-1,145,6,Steel
TV Black Cat Kuna,145,220,6,Open
TV Boehlke,0,116,6,Steel
TV Boise Gun Club,-1.5,487,8,Steel
TV Boise Gun Club,484,504,7,Perforations-steel
TV Bunch-Kirkwood,-1,115,6,Steel
TV Bunch-Kirkwood,112,117,5,Steel
TV Bunch-Kirkwood,117,122,5,Screen-SS
TV Bunch-Kirkwood,122,125,5,Steel
TV Camas St,-1,85,6,Steel
TV Camas St,85,90,6,Screen-SS
TV CanAda,-2,173,6,Steel
TV Cannon Farms no. 5,0,480,14,Steel
TV Cannon Farms no. 5,400,580,14,Perforations-steel
TV Catalpa Dr,0,45,6,Steel
TV Chicken Dinner Rd,-1.5,59,6,Steel
TV Cool Rd,-1,239,6,Steel
TV Crosthwaite,-1.5,102,8,Steel
TV Crosthwaite,96,103,6,Steel
TV Crosthwaite,103,109,6,Screen-SS
TV Crosthwaite,109,115,6,Steel
TV Duff Lane,-1,60,4,Steel
TV Dunwoody,-2,171,6,Steel
TV Dunwoody,158,173,5,Steel
TV Dunwoody,173,178,5,Screen-SS
TV Dunwoody,178,180,5,Steel
TV E Kuna Rd,-1,19,8,Steel
TV E Kuna Rd,19,215,8,Open
TV Ed Van Grouw,-2,38.5,6.62,Steel
TV Ed Van Grouw,38.5,386,6,Open
TV Elkhorn,-2,205,6,Steel
TV Elmcrest,-1.9,131,8,Steel
TV Fountain Rd,-2,195.5,6,Steel
TV Goodson Rd,-1,145,6,Steel
TV Hollow Rd,-1,377.7,6,Steel
TV Hollow Rd,368.8,386.5,5,Steel
TV Hollow Rd,380,384,5,Screen-SS
TV Hollylynn,-2,448,6,Steel
TV Hollylynn,450,460,5,Screen-SS
TV Homedale Rd,0,220,12,Steel
TV Homedale Rd,131,137,12,Perforations-steel
TV Homedale Rd,195,237,10,Steel
TV Hubbard Rd,-1,96,6,Steel
TV Hwy 95,-1,45,6,Steel
TV IDL House,-2.5,338,8,Steel
TV IDL House,331,332,6,Steel
TV IDL House,332,353,6,Perforations-steel
TV Indiana Ave,-3,118,12,Steel
TV Indiana Ave,118,138,12,Screen-SS
