<AQUIFER>,,
Bore,Depth_Water,WL_Date
TV Quartz Rd,58.07,22-Sep-16
TV Quartz Rd,58.19,23-Sep-16
TV Quartz Rd,58.32,23-Sep-16
TV Quartz Rd,58.45,24-Sep-16
TV Quartz Rd,58.56,24-Sep-16
TV Quartz Rd,58.63,25-Sep-16
TV Quartz Rd,58.67,25-Sep-16
TV Quartz Rd,58.71,26-Sep-16
TV Quartz Rd,58.72,26-Sep-16
TV Quartz Rd,58.75,27-Sep-16
TV Quartz Rd,58.79,27-Sep-16
TV Quartz Rd,58.83,28-Sep-16
TV Quartz Rd,58.85,28-Sep-16
TV Quartz Rd,58.91,29-Sep-16
TV Quartz Rd,58.94,29-Sep-16
TV Quartz Rd,58.98,30-Sep-16
TV Quartz Rd,59.01,30-Sep-16
TV Quartz Rd,59.03,1-Oct-16
TV Quartz Rd,59.07,1-Oct-16
TV Quartz Rd,59.07,2-Oct-16
TV Quartz Rd,59.1,2-Oct-16
TV Quartz Rd,59.15,3-Oct-16
TV Quartz Rd,59.17,3-Oct-16
TV Quartz Rd,59.2,4-Oct-16
TV Quartz Rd,59.22,4-Oct-16
TV Quartz Rd,59.25,5-Oct-16
TV Quartz Rd,59.12,5-Oct-16
TV Quartz Rd,59.01,6-Oct-16
TV Quartz Rd,58.88,6-Oct-16
TV Quartz Rd,58.84,7-Oct-16
TV Quartz Rd,58.94,7-Oct-16
TV Quartz Rd,59.03,8-Oct-16
TV Quartz Rd,59.1,8-Oct-16
TV Quartz Rd,59.17,9-Oct-16
TV Quartz Rd,59.22,9-Oct-16
TV Quartz Rd,59.28,10-Oct-16
TV Quartz Rd,59.31,10-Oct-16
TV Quartz Rd,59.34,11-Oct-16
TV Quartz Rd,59.37,11-Oct-16
TV Quartz Rd,59.41,12-Oct-16
TV Quartz Rd,59.42,12-Oct-16
TV Quartz Rd,59.46,13-Oct-16
TV Quartz Rd,59.49,13-Oct-16
TV Quartz Rd,59.49,14-Oct-16
TV Quartz Rd,59.55,14-Oct-16
TV Quartz Rd,59.58,15-Oct-16
TV Quartz Rd,59.57,15-Oct-16
TV Quartz Rd,59.63,16-Oct-16
TV Quartz Rd,59.65,16-Oct-16
TV Quartz Rd,59.68,17-Oct-16
TV Quartz Rd,59.74,17-Oct-16
TV Quartz Rd,59.75,18-Oct-16
TV Quartz Rd,59.79,18-Oct-16
TV Quartz Rd,59.81,19-Oct-16
TV Quartz Rd,59.83,19-Oct-16
TV Quartz Rd,59.86,20-Oct-16
TV Quartz Rd,59.86,20-Oct-16
TV Quartz Rd,59.89,21-Oct-16
TV Quartz Rd,59.89,21-Oct-16
TV Quartz Rd,63.84,17-Mar-17
TV Red Top,14.48,16-Mar-71
TV Red Top,13.83,12-May-71
TV Red Top,12.11,27-Sep-71
TV Red Top,15.02,17-Mar-72
TV Red Top,53.42,19-Sep-72
TV Red Top,15.48,22-Mar-73
TV Red Top,12.34,7-Sep-73
TV Red Top,15.84,5-Apr-74
TV Red Top,11.84,13-Sep-74
TV Red Top,15.53,21-Mar-75
TV Red Top,53.52,6-Sep-75
TV Red Top,15.13,17-Mar-76
TV Red Top,11.22,17-Sep-76
TV Red Top,15.07,8-Mar-77
TV Red Top,13.95,15-Sep-77
TV Red Top,16.48,22-Mar-78
TV Red Top,56.05,19-Sep-78
TV Red Top,14.52,17-Nov-78
TV Red Top,15.74,18-Jan-79
TV Red Top,16.46,23-Mar-79
TV Red Top,57.29,18-May-79
TV Red Top,12.86,18-Jul-79
TV Red Top,12.49,18-Sep-79
TV Red Top,14.51,19-Nov-79
TV Red Top,15.6,23-Jan-80
TV Red Top,16.14,14-Mar-80
TV Red Top,13.33,19-May-80
TV Red Top,12.04,18-Jul-80
TV Red Top,54.62,4-Aug-80
TV Red Top,12.26,16-Sep-80
TV Red Top,14.47,25-Nov-80
TV Red Top,15.54,27-Jan-81
TV Red Top,16.21,17-Mar-81
TV Red Top,13.66,27-May-81
TV Red Top,55.68,17-Jun-81
TV Red Top,12.09,22-Jul-81
TV Red Top,12.34,30-Sep-81
TV Red Top,13.79,30-Nov-81
TV Red Top,14.62,25-Jan-82
TV Red Top,15,18-Mar-82
TV Red Top,57.33,17-May-82
TV Red Top,11.54,23-Jul-82
TV Red Top,12.14,30-Sep-82
TV Red Top,14.83,30-Mar-83
TV Red Top,11.52,22-Sep-83
TV Red Top,14.1,30-Mar-84
TV Red Top,10.79,26-Sep-84
TV Red Top,14.99,22-Mar-85
TV Red Top,12.19,11-Sep-85
TV Red Top,15.36,27-Mar-86
TV Red Top,49.25,28-Jul-86
TV Red Top,48.88,11-Sep-86
TV Red Top,14.27,25-Nov-86
TV Red Top,15.14,12-Jan-87
TV Red Top,16.06,25-Mar-87
TV Red Top,14.02,19-May-87
TV Red Top,14.07,8-Jul-87
TV Red Top,14.68,25-Sep-87
TV Red Top,15.77,18-Nov-87
TV Red Top,16.62,26-Jan-88
TV Red Top,17.04,15-Mar-88
TV Red Top,58.07,23-May-88
TV Red Top,57.58,14-Jul-88
TV Red Top,58.86,20-Sep-88
TV Red Top,16.87,22-Nov-88
TV Red Top,17.57,24-Jan-89
TV Red Top,17.82,22-Mar-89
TV Red Top,14.74,24-May-89
TV Red Top,14.22,13-Jul-89
TV Red Top,14.02,21-Sep-89
TV Red Top,15.44,22-Nov-89
TV Red Top,16.55,19-Jan-90
TV Red Top,17.31,16-Mar-90
TV Red Top,59.19,17-May-90
TV Red Top,60.94,23-Jul-90
TV Red Top,17.25,14-Sep-90
TV Red Top,17.64,29-Nov-90
TV Red Top,18.2,25-Jan-91
TV Red Top,18.58,28-Mar-91
TV Red Top,17.51,22-May-91
TV Red Top,18.78,15-Jul-91
TV Red Top,18.8,26-Sep-91
TV Red Top,18.95,19-Nov-91
TV Red Top,19.23,30-Jan-92
TV Red Top,19.42,25-Mar-92
TV Red Top,18.88,26-May-92
TV Red Top,20.18,28-Jul-92
TV Red Top,22.34,23-Sep-92
TV Red Top,22.05,19-Nov-92
TV Red Top,21.7,27-Jan-93
TV Red Top,21.4,5-Apr-93
TV Red Top,64.27,27-May-93
TV Red Top,18.5,29-Jul-93
TV Red Top,20.48,29-Sep-93
TV Red Top,20.19,30-Nov-93
TV Red Top,19.66,30-Mar-94
TV Red Top,64.71,26-May-94
TV Red Top,21.84,22-Sep-94
TV Red Top,21.64,2-Dec-94
TV Red Top,21.03,28-Mar-95
TV Red Top,20.16,7-Jun-95
TV Red Top,18.69,27-Sep-95
TV Red Top,19.29,15-Mar-96
TV Red Top,19.58,16-Sep-96
TV Red Top,18.75,26-Mar-97
TV Red Top,18.24,23-Sep-97
TV Red Top,18.19,25-Mar-98
TV Red Top,58.5,23-Sep-98
TV Red Top,17.99,24-Mar-99
TV Red Top,16.53,28-Sep-99
TV Red Top,17.97,20-Mar-00
TV Red Top,17.3,12-Oct-00
TV Red Top,18.12,27-Mar-01
TV Red Top,68.5,19-Sep-01
TV Red Top,19.48,12-Mar-02
TV Red Top,68.74,13-May-02
TV Red Top,18.87,18-Sep-02
TV Red Top,18.99,12-Nov-02
TV Red Top,19.58,17-Mar-03
TV Red Top,18.67,23-Sep-03
TV Red Top,18.71,19-Nov-03
TV Red Top,19.33,25-Mar-04
TV Red Top,19.11,21-May-04
TV Red Top,18.38,28-Sep-04
TV Red Top,18.25,22-Nov-04
TV Red Top,19.2,28-Mar-05
TV Red Top,19.4,23-May-05
TV Red Top,18.79,21-Nov-05
TV Red Top,19.12,28-Mar-06
TV Red Top,17.42,25-May-06
TV Red Top,17.8,29-Nov-06
TV Red Top,18.86,19-Mar-07
TV Red Top,18.64,24-May-07
TV Red Top,17.38,19-Sep-07
TV Red Top,19.6,4-Mar-08
TV Red Top,18.44,17-Oct-08
TV Red Top,18.67,6-Nov-08
TV Red Top,19.86,30-Mar-09
TV Red Top,18.7,15-Jan-10
TV Red Top,18.88,11-Mar-10
TV Red Top,18.78,14-May-10
TV Red Top,17.72,9-Nov-10
TV Red Top,18.25,1-Feb-11
TV Red Top,18.32,20-May-11
TV Red Top,16.96,19-Jul-11
TV Red Top,16.69,8-Nov-11
TV Red Top,17.2,3-Jan-12
TV Red Top,17.78,13-Mar-12
TV Red Top,62.67,29-May-12
TV Red Top,15.84,17-Sep-12
TV Red Top,17.52,21-Mar-13
TV Red Top,18.53,26-Nov-13
TV Red Top,18.76,1-May-14
TV Red Top,18.29,18-Sep-14
TV Red Top,18.79,26-Jan-15
TV Red Top,19.03,11-Mar-15
TV Red Top,18.31,3-Jun-15
TV Red Top,18.74,3-Sep-15
TV Red Top,18.13,20-Oct-16
TV Red Top,18.24,17-Mar-17
TV Riva Ridge,52.39,26-Mar-96
TV Riva Ridge,42.38,19-Sep-96
TV Riva Ridge,50.36,16-Mar-98
TV Riva Ridge,41.71,29-Sep-98
TV Riva Ridge,52.34,22-Mar-00
TV Riva Ridge,44.81,25-Sep-00
TV Riva Ridge,53,12-Oct-01
TV Riva Ridge,54.9,31-Dec-03
TV Riva Ridge,55.2,26-Feb-04
TV Riva Ridge,61.6,25-Apr-04
TV Riva Ridge,60.3,17-Jun-04
TV Riva Ridge,55.6,24-Aug-04
TV Riva Ridge,53.4,18-Oct-04
TV Riva Ridge,56,20-Dec-04
TV Riva Ridge,60.9,17-Feb-05
TV Riva Ridge,61.8,12-Apr-05
TV Riva Ridge,62.3,22-Jul-05
TV Riva Ridge,59.2,20-Sep-05
TV Riva Ridge,56.8,1-Dec-05
TV Riva Ridge,61.7,26-Jan-06
TV Riva Ridge,64.3,18-Apr-06
TV Riva Ridge,63.3,19-Jun-06
TV Riva Ridge,58.3,1-Sep-06
TV Riva Ridge,55,19-Oct-06
TV Riva Ridge,57.6,29-Dec-06
TV Riva Ridge,59.9,20-Feb-07
TV Riva Ridge,63.1,25-Apr-07
TV Riva Ridge,61.9,19-Jun-07
TV Riva Ridge,57.6,23-Aug-07
TV Riva Ridge,56.5,23-Oct-07
TV Riva Ridge,58.6,19-Dec-07
TV Riva Ridge,61.4,19-Feb-08
TV Riva Ridge,65,21-May-08
TV Riva Ridge,62.5,21-Jul-08
TV Riva Ridge,59.4,10-Sep-08
TV Riva Ridge,59,19-Nov-08
TV Riva Ridge,59.9,12-Jan-09
TV Riva Ridge,62.4,10-Mar-09
TV Riva Ridge,64.6,26-May-09
TV Riva Ridge,62,20-Jul-09
TV Riva Ridge,57.6,22-Sep-09
TV Riva Ridge,56.3,9-Nov-09
TV Riva Ridge,59.02,14-Jan-10
TV Riva Ridge,61.06,8-Mar-10
TV Riva Ridge,63.86,10-May-10
TV Riva Ridge,61.62,20-Jul-10
TV Riva Ridge,57.65,21-Sep-10
TV Riva Ridge,56.71,17-Nov-10
TV Riva Ridge,59.12,25-Jan-11
TV Riva Ridge,59.1,31-Jan-11
TV Riva Ridge,63.28,18-May-11
TV Riva Ridge,61.06,20-Jul-11
TV Riva Ridge,57.17,21-Sep-11
TV Riva Ridge,56.68,9-Dec-11
TV Riva Ridge,58.05,11-Jan-12
TV Riva Ridge,62.09,9-Apr-12
TV Riva Ridge,63.13,30-May-12
TV Riva Ridge,59.77,1-Aug-12
TV Riva Ridge,57.13,26-Sep-12
TV Riva Ridge,62.78,25-Nov-13
TV Riva Ridge,67.29,29-Apr-14
TV Riva Ridge,63.6,1-Aug-14
TV Riva Ridge,59.77,23-Sep-14
TV Riva Ridge,62.07,24-Jan-15
TV Riva Ridge,63.72,25-Mar-15
TV Riva Ridge,64.56,4-Jun-15
TV Riva Ridge,58.86,14-Sep-15
TV Riva Ridge,65.56,2-Jun-16
TV Riva Ridge,65.3,3-Jun-16
TV Riva Ridge,65.18,3-Jun-16
TV Riva Ridge,65.24,4-Jun-16
TV Riva Ridge,65.28,4-Jun-16
TV Riva Ridge,65.4,5-Jun-16
TV Riva Ridge,65.52,5-Jun-16
TV Riva Ridge,65.49,6-Jun-16
TV Riva Ridge,65.52,6-Jun-16
TV Riva Ridge,65.6,7-Jun-16
TV Riva Ridge,65.53,7-Jun-16
TV Riva Ridge,65.53,8-Jun-16
TV Riva Ridge,65.53,8-Jun-16
TV Riva Ridge,65.66,9-Jun-16
TV Riva Ridge,65.42,9-Jun-16
TV Riva Ridge,65.54,10-Jun-16
TV Riva Ridge,65.66,10-Jun-16
TV Riva Ridge,65.29,11-Jun-16
TV Riva Ridge,65.58,11-Jun-16
TV Riva Ridge,65.1,12-Jun-16
TV Riva Ridge,64.99,12-Jun-16
TV Riva Ridge,65.13,13-Jun-16
TV Riva Ridge,65.23,13-Jun-16
TV Riva Ridge,65.4,14-Jun-16
TV Riva Ridge,65.16,14-Jun-16
TV Riva Ridge,65.24,15-Jun-16
TV Riva Ridge,65.24,15-Jun-16
TV Riva Ridge,65.19,16-Jun-16
TV Riva Ridge,64.91,16-Jun-16
TV Riva Ridge,64.91,17-Jun-16
TV Riva Ridge,64.93,17-Jun-16
TV Riva Ridge,65.02,18-Jun-16
TV Riva Ridge,64.87,18-Jun-16
TV Riva Ridge,64.66,19-Jun-16
TV Riva Ridge,64.54,19-Jun-16
TV Riva Ridge,64.72,20-Jun-16
TV Riva Ridge,64.77,20-Jun-16
TV Riva Ridge,64.86,21-Jun-16
TV Riva Ridge,64.61,21-Jun-16
TV Riva Ridge,64.76,22-Jun-16
TV Riva Ridge,64.81,22-Jun-16
TV Riva Ridge,64.91,23-Jun-16
TV Riva Ridge,64.75,23-Jun-16
TV Riva Ridge,64.83,24-Jun-16
TV Riva Ridge,64.57,24-Jun-16
TV Riva Ridge,64.48,25-Jun-16
TV Riva Ridge,64.4,25-Jun-16
TV Riva Ridge,64.55,26-Jun-16
TV Riva Ridge,64.49,26-Jun-16
TV Riva Ridge,64.5,27-Jun-16
TV Riva Ridge,64.51,27-Jun-16
TV Riva Ridge,64.64,28-Jun-16
TV Riva Ridge,64.47,28-Jun-16
TV Riva Ridge,64.58,29-Jun-16
TV Riva Ridge,64.51,29-Jun-16
TV Riva Ridge,64.64,30-Jun-16
TV Riva Ridge,64.5,30-Jun-16
TV Riva Ridge,64.49,1-Jul-16
TV Riva Ridge,64.43,1-Jul-16
TV Riva Ridge,64.53,2-Jul-16
TV Riva Ridge,64.4,2-Jul-16
TV Riva Ridge,64.47,3-Jul-16
TV Riva Ridge,64.4,3-Jul-16
TV Riva Ridge,64.43,4-Jul-16
TV Riva Ridge,64.26,4-Jul-16
TV Riva Ridge,64.34,5-Jul-16
TV Riva Ridge,64.28,5-Jul-16
TV Riva Ridge,64.4,6-Jul-16
TV Riva Ridge,64.26,6-Jul-16
TV Riva Ridge,64.25,7-Jul-16
TV Riva Ridge,64.2,7-Jul-16
TV Riva Ridge,64.36,8-Jul-16
TV Riva Ridge,64.18,8-Jul-16
TV Riva Ridge,64.19,9-Jul-16
TV Riva Ridge,64.04,9-Jul-16
TV Riva Ridge,64.21,10-Jul-16
TV Riva Ridge,64.04,10-Jul-16
TV Riva Ridge,63.89,11-Jul-16
TV Riva Ridge,63.8,11-Jul-16
TV Riva Ridge,63.99,12-Jul-16
TV Riva Ridge,63.96,12-Jul-16
TV Riva Ridge,63.81,13-Jul-16
TV Riva Ridge,63.65,13-Jul-16
TV Riva Ridge,63.73,14-Jul-16
TV Riva Ridge,63.62,14-Jul-16
TV Riva Ridge,63.77,15-Jul-16
TV Riva Ridge,63.75,15-Jul-16
TV Riva Ridge,63.85,16-Jul-16
TV Riva Ridge,63.69,16-Jul-16
TV Riva Ridge,63.76,17-Jul-16
TV Riva Ridge,63.77,17-Jul-16
TV Riva Ridge,63.85,18-Jul-16
TV Riva Ridge,63.64,18-Jul-16
TV Riva Ridge,63.62,19-Jul-16
TV Riva Ridge,63.53,19-Jul-16
TV Riva Ridge,63.61,20-Jul-16
TV Riva Ridge,63.44,20-Jul-16
TV Riva Ridge,63.48,21-Jul-16
TV Riva Ridge,63.42,21-Jul-16
TV Riva Ridge,63.52,22-Jul-16
TV Riva Ridge,63.3,22-Jul-16
TV Riva Ridge,63.3,23-Jul-16
TV Riva Ridge,63.18,23-Jul-16
TV Riva Ridge,63.33,24-Jul-16
TV Riva Ridge,63.22,24-Jul-16
TV Riva Ridge,63.29,25-Jul-16
TV Riva Ridge,63.25,25-Jul-16
TV Riva Ridge,63.37,26-Jul-16
TV Riva Ridge,63.21,26-Jul-16
TV Riva Ridge,63.24,27-Jul-16
TV Riva Ridge,63.14,27-Jul-16
TV Riva Ridge,63.22,28-Jul-16
TV Riva Ridge,63.07,28-Jul-16
TV Riva Ridge,63.15,29-Jul-16
TV Riva Ridge,63.09,29-Jul-16
TV Riva Ridge,63.28,30-Jul-16
TV Riva Ridge,63.19,30-Jul-16
TV Riva Ridge,63.27,31-Jul-16
TV Riva Ridge,63.11,31-Jul-16
TV Riva Ridge,63.06,1-Aug-16
TV Riva Ridge,62.9,1-Aug-16
TV Riva Ridge,63.01,2-Aug-16
TV Riva Ridge,62.94,2-Aug-16
TV Riva Ridge,62.83,3-Aug-16
TV Riva Ridge,62.67,3-Aug-16
TV Riva Ridge,62.78,4-Aug-16
TV Riva Ridge,62.73,4-Aug-16
TV Riva Ridge,62.88,5-Aug-16
TV Riva Ridge,62.88,5-Aug-16
TV Riva Ridge,62.98,6-Aug-16
TV Riva Ridge,62.86,6-Aug-16
TV Riva Ridge,62.93,7-Aug-16
TV Riva Ridge,62.82,7-Aug-16
TV Riva Ridge,62.86,8-Aug-16
TV Riva Ridge,62.71,8-Aug-16
TV Riva Ridge,62.74,9-Aug-16
TV Riva Ridge,62.56,9-Aug-16
TV Riva Ridge,62.57,10-Aug-16
TV Riva Ridge,62.44,10-Aug-16
TV Riva Ridge,62.45,11-Aug-16
TV Riva Ridge,62.32,11-Aug-16
TV Riva Ridge,62.33,12-Aug-16
TV Riva Ridge,62.22,12-Aug-16
TV Riva Ridge,62.29,13-Aug-16
TV Riva Ridge,62.22,13-Aug-16
TV Riva Ridge,62.37,14-Aug-16
TV Riva Ridge,62.29,14-Aug-16
TV Riva Ridge,62.31,15-Aug-16
TV Riva Ridge,62.19,15-Aug-16
TV Riva Ridge,62.27,16-Aug-16
TV Riva Ridge,62.18,16-Aug-16
TV Riva Ridge,62.21,17-Aug-16
TV Riva Ridge,62.16,17-Aug-16
TV Riva Ridge,62.18,18-Aug-16
TV Riva Ridge,62.11,18-Aug-16
TV Riva Ridge,62.09,19-Aug-16
TV Riva Ridge,61.99,19-Aug-16
TV Riva Ridge,62.06,20-Aug-16
TV Riva Ridge,61.94,20-Aug-16
TV Riva Ridge,62.07,21-Aug-16
TV Riva Ridge,62,21-Aug-16
TV Riva Ridge,62.3,22-Aug-16
TV Riva Ridge,61.85,22-Aug-16
TV Riva Ridge,61.85,23-Aug-16
TV Riva Ridge,61.69,23-Aug-16
TV Riva Ridge,62.19,24-Aug-16
TV Riva Ridge,61.58,24-Aug-16
TV Riva Ridge,61.68,25-Aug-16
TV Riva Ridge,61.62,25-Aug-16
TV Riva Ridge,61.66,26-Aug-16
TV Riva Ridge,61.6,26-Aug-16
TV Riva Ridge,61.7,27-Aug-16
TV Riva Ridge,61.62,27-Aug-16
TV Riva Ridge,61.62,28-Aug-16
TV Riva Ridge,61.52,28-Aug-16
TV Riva Ridge,61.43,29-Aug-16
TV Riva Ridge,61.34,29-Aug-16
TV Riva Ridge,61.42,30-Aug-16
TV Riva Ridge,61.42,30-Aug-16
TV Riva Ridge,61.45,31-Aug-16
TV Riva Ridge,61.41,31-Aug-16
TV Riva Ridge,61.49,1-Sep-16
TV Riva Ridge,61.32,1-Sep-16
TV Riva Ridge,61.39,2-Sep-16
TV Riva Ridge,61.22,2-Sep-16
TV Riva Ridge,61.3,3-Sep-16
TV Riva Ridge,61.21,3-Sep-16
TV Riva Ridge,61.35,4-Sep-16
TV Riva Ridge,61.28,4-Sep-16
TV Riva Ridge,61.16,5-Sep-16
TV Riva Ridge,61.03,5-Sep-16
TV Riva Ridge,61.12,6-Sep-16
TV Riva Ridge,61.07,6-Sep-16
TV Riva Ridge,60.96,7-Sep-16
TV Riva Ridge,60.81,7-Sep-16
TV Riva Ridge,60.85,8-Sep-16
TV Riva Ridge,60.74,8-Sep-16
TV Riva Ridge,60.75,9-Sep-16
TV Riva Ridge,60.51,9-Sep-16
TV Riva Ridge,60.58,10-Sep-16
TV Riva Ridge,60.54,10-Sep-16
TV Riva Ridge,60.71,11-Sep-16
TV Riva Ridge,60.71,11-Sep-16
TV Riva Ridge,60.81,12-Sep-16
TV Riva Ridge,60.69,12-Sep-16
TV Riva Ridge,60.63,13-Sep-16
TV Riva Ridge,60.58,13-Sep-16
TV Riva Ridge,60.62,14-Sep-16
TV Riva Ridge,60.49,14-Sep-16
TV Riva Ridge,60.43,15-Sep-16
TV Riva Ridge,60.33,15-Sep-16
TV Riva Ridge,60.36,16-Sep-16
TV Riva Ridge,60.28,16-Sep-16
TV Riva Ridge,60.36,17-Sep-16
TV Riva Ridge,60.3,17-Sep-16
TV Riva Ridge,60.42,18-Sep-16
TV Riva Ridge,60.32,18-Sep-16
TV Riva Ridge,60.7,19-Sep-16
TV Riva Ridge,60.24,19-Sep-16
TV Riva Ridge,60.28,20-Sep-16
TV Riva Ridge,60.24,20-Sep-16
TV Riva Ridge,60.34,21-Sep-16
TV Riva Ridge,60.25,21-Sep-16
TV Riva Ridge,60.36,22-Sep-16
TV Riva Ridge,60.26,22-Sep-16
TV Riva Ridge,60.21,23-Sep-16
TV Riva Ridge,60.08,23-Sep-16
TV Riva Ridge,59.99,24-Sep-16
TV Riva Ridge,59.73,24-Sep-16
TV Riva Ridge,59.67,25-Sep-16
TV Riva Ridge,59.53,25-Sep-16
TV Riva Ridge,59.6,26-Sep-16
TV Riva Ridge,59.61,26-Sep-16
TV Riva Ridge,59.82,27-Sep-16
TV Riva Ridge,59.77,27-Sep-16
TV Riva Ridge,59.89,28-Sep-16
TV Riva Ridge,60.46,28-Sep-16
TV Riva Ridge,59.89,29-Sep-16
TV Riva Ridge,59.8,29-Sep-16
TV Riva Ridge,59.81,30-Sep-16
TV Riva Ridge,59.73,30-Sep-16
TV Riva Ridge,59.91,1-Oct-16
TV Riva Ridge,59.69,1-Oct-16
TV Riva Ridge,59.71,2-Oct-16
TV Riva Ridge,60.35,2-Oct-16
TV Riva Ridge,59.84,3-Oct-16
TV Riva Ridge,59.72,3-Oct-16
TV Riva Ridge,59.78,4-Oct-16
TV Riva Ridge,59.63,4-Oct-16
TV Riva Ridge,59.61,5-Oct-16
TV Riva Ridge,59.53,5-Oct-16
TV Riva Ridge,59.46,6-Oct-16
TV Riva Ridge,59.33,6-Oct-16
TV Riva Ridge,59.32,7-Oct-16
TV Riva Ridge,59.28,7-Oct-16
TV Riva Ridge,59.35,8-Oct-16
TV Riva Ridge,59.33,8-Oct-16
TV Riva Ridge,59.4,9-Oct-16
TV Riva Ridge,59.9,9-Oct-16
TV Riva Ridge,59.46,10-Oct-16
TV Riva Ridge,59.4,10-Oct-16
TV Riva Ridge,59.38,11-Oct-16
TV Riva Ridge,59.21,11-Oct-16
TV Riva Ridge,59.13,12-Oct-16
TV Riva Ridge,59.1,12-Oct-16
TV Riva Ridge,59.24,13-Oct-16
TV Riva Ridge,59.26,13-Oct-16
TV Riva Ridge,59.56,14-Oct-16
TV Riva Ridge,59.4,14-Oct-16
TV Riva Ridge,59.41,15-Oct-16
TV Riva Ridge,59.44,15-Oct-16
TV Riva Ridge,59.57,16-Oct-16
TV Riva Ridge,59.45,16-Oct-16
TV Riva Ridge,59.63,17-Oct-16
TV Riva Ridge,59.33,17-Oct-16
TV Riva Ridge,59.25,18-Oct-16
TV Riva Ridge,59.17,18-Oct-16
TV Riva Ridge,59.01,19-Oct-16
TV Riva Ridge,58.84,19-Oct-16
TV Riva Ridge,58.88,20-Oct-16
TV Riva Ridge,58.95,20-Oct-16
TV Riva Ridge,59.06,21-Oct-16
TV Riva Ridge,59.15,21-Oct-16
TV Riva Ridge,59.3,22-Oct-16
TV Riva Ridge,59.22,22-Oct-16
TV Riva Ridge,59.3,23-Oct-16
TV Riva Ridge,59.26,23-Oct-16
TV Riva Ridge,59.37,24-Oct-16
TV Riva Ridge,59.33,24-Oct-16
TV Riva Ridge,59.35,25-Oct-16
TV Riva Ridge,59.23,25-Oct-16
TV Riva Ridge,59.26,26-Oct-16
TV Riva Ridge,59.27,26-Oct-16
TV Riva Ridge,59.36,27-Oct-16
TV Riva Ridge,59.42,27-Oct-16
TV Riva Ridge,59.4,28-Oct-16
TV Riva Ridge,59.38,28-Oct-16
TV Riva Ridge,59.38,29-Oct-16
TV Riva Ridge,59.37,29-Oct-16
TV Riva Ridge,59.44,30-Oct-16
TV Riva Ridge,59.58,30-Oct-16
TV Riva Ridge,59.57,31-Oct-16
TV Riva Ridge,59.44,31-Oct-16
TV Riva Ridge,59.53,1-Nov-16
TV Riva Ridge,59.45,1-Nov-16
TV Riva Ridge,59.28,2-Nov-16
TV Riva Ridge,59.2,2-Nov-16
TV Riva Ridge,59.54,3-Nov-16
TV Riva Ridge,59.12,3-Nov-16
TV Riva Ridge,59.25,4-Nov-16
TV Riva Ridge,59.25,4-Nov-16
TV Riva Ridge,59.34,5-Nov-16
TV Riva Ridge,59.44,5-Nov-16
TV Riva Ridge,59.6,6-Nov-16
TV Riva Ridge,59.52,6-Nov-16
TV Riva Ridge,59.49,7-Nov-16
TV Riva Ridge,59.32,7-Nov-16
TV Riva Ridge,59.3,8-Nov-16
TV Riva Ridge,59.32,8-Nov-16
TV Riva Ridge,59.42,9-Nov-16
TV Riva Ridge,59.43,9-Nov-16
TV Riva Ridge,59.45,10-Nov-16
TV Riva Ridge,59.44,10-Nov-16
TV Riva Ridge,59.51,11-Nov-16
TV Riva Ridge,59.57,11-Nov-16
TV Riva Ridge,59.66,12-Nov-16
TV Riva Ridge,59.66,12-Nov-16
TV Riva Ridge,59.61,13-Nov-16
TV Riva Ridge,59.56,13-Nov-16
TV Riva Ridge,59.64,14-Nov-16
TV Riva Ridge,59.68,14-Nov-16
TV Riva Ridge,59.74,15-Nov-16
TV Riva Ridge,59.92,15-Nov-16
TV Riva Ridge,59.92,15-Nov-16
TV Riva Ridge,64.46,16-Mar-17
TV Ross Flowing,-43.62,5-Apr-96
TV Ross Flowing,-36.87,15-Jul-96
TV Ross Flowing,-33.67,21-Aug-96
TV Ross Flowing,-37.68,16-Sep-96
TV Ross Flowing,-40.72,22-Oct-96
TV Ross Flowing,-42.02,20-Nov-96
TV Ross Flowing,-42.07,16-Dec-96
TV Ross Flowing,-43.5,27-Jan-97
TV Ross Flowing,-43.6,18-Feb-97
TV Ross Flowing,-44,26-Mar-97
TV Ross Flowing,-41.2,28-Apr-97
TV Ross Flowing,-38.5,21-May-97
TV Ross Flowing,-36.8,25-Jun-97
TV Ross Flowing,-37.3,30-Jul-97
TV Ross Flowing,-35.4,25-Aug-97
TV Ross Flowing,-39,24-Sep-97
TV Ross Flowing,-40.7,28-Oct-97
TV Ross Flowing,-41.52,26-Nov-97
TV Ross Flowing,-41.02,22-Dec-97
TV Ross Flowing,-41.52,20-Jan-98
TV Ross Flowing,-42.42,26-Feb-98
TV Ross Flowing,-42.11,20-Mar-98
TV Ross Flowing,-39.72,21-Apr-98
TV Ross Flowing,-40.44,18-May-98
TV Ross Flowing,-38.42,22-Jun-98
TV Ross Flowing,-32.21,20-Jul-98
TV Ross Flowing,-33.32,24-Aug-98
TV Ross Flowing,-39.17,29-Sep-98
TV Ross Flowing,-41.32,26-Oct-98
TV Ross Flowing,-42.32,24-Nov-98
TV Ross Flowing,-41.42,21-Dec-98
TV Ross Flowing,-41.62,27-Jan-99
TV Ross Flowing,-41.57,22-Feb-99
TV Ross Flowing,-42.97,22-Mar-99
TV Ross Flowing,-37.02,30-Apr-99
TV Ross Flowing,-32.72,24-May-99
